,,,,
,Software Systems Developer Program (SSD 23),,,
,,,,
Tuesday,Jan 30,Web Application Security,Pat McGee,
Wednesday,Jan 31,JavaScript (Part 2),Jason Harrison,
Thursday,Feb 1,Web Application Security,Pat McGee,
Friday,Feb 2,Android Introduction,Paul Mills,
,,Week 19,,
Monday,Feb 5,ASP.NET - 2,Pat McGee,
Tuesday,Feb 6,Web Application Security,Pat McGee,
Wednesday,Feb 7,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Feb 8,Project 1 - Phase 2,Pat McGee,
Friday,Feb 9,Android Introduction,Paul Mills,
,,Week 20,,
Monday,Feb 12,Family Day,,
Tuesday,Feb 13,Project 1 - Phase 2,Pat McGee,
Wednesday,Feb 14,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Feb 15,Web Application Security,Pat McGee,
Friday,Feb 16,Android Introduction,Paul Mills,
,,Week 21,,
Monday,Feb 19,Front End Web Design,Michael Whyte,
Tuesday,Feb 20,Project 1 - Phase 2,Pat McGee,
Wednesday,Feb 21,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Feb 22,Web Application Security,Pat McGee,
Friday,Feb 23,Android Introduction,Paul Mills,
,,Week 22,,
Monday,Feb 26,Front End Web Design,Michael Whyte,
Tuesday,Feb 27,Project 1 - Phase 2,Pat McGee,
Wednesday,Feb 28,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Mar 1,iOS Development,Pat McGee,
Friday,Mar 2,Android Introduction,Paul Mills,
,,Week 23 ,,
Monday,Mar 5,iOS Development,Pat McGee,
Tuesday,Mar 6,iOS Development,Pat McGee,
Wednesday,Mar 7,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Mar 8,Flex day (no class is currently scheduled but this could change).,,
Friday,Mar 9,Front End Web Design,Michael Whyte,
,,Week 24,,
Monday,Mar 12,Front End Web Design,Michael Whyte,
Tuesday,Mar 13,iOS Development,Pat McGee,
Wednesday,Mar 14,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Mar 15,iOS Development,Pat McGee,
Friday,Mar 16,iOS Development,Pat McGee,
,,Week 25,,
Monday,Mar 19,March Break,,
Tuesday,Mar 20,March Break,,
Wednesday,Mar 21,March Break,,
Thursday,Mar 22,March Break,,
Friday,Mar 23,March Break,,
,,Week 26,,
Monday,Mar 26,Front End Web Design,Michael Whyte,
Tuesday,Mar 27,Project 1 - Phase 3,Pat McGee,
Wednesday,Mar 28,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Mar 29,Resume Writing Essentials, Marlene Delanghe ,
Friday,Mar 30,BCIT Closed Good Friday,,
,,Weeks 27,,
Monday,Apr 2,BCIT Closed Easter Monday,,
Tuesday,Apr 3,Project 1 - Phase 3,Pat McGee,Marlene Resume One on One (Half day)
Wednesday,Apr 4,Front End Web Design,Michael Whyte,
Thursday,Apr 5,iOS Development,Pat McGee,Marlene Resume One on One
Friday,Apr 6,Project 1 - Phase 3,Pat McGee,Marlene Resume One on One
,,Weeks 28,,
Monday,Apr 9,Interview Skills, Marlene Delanghe ,
Tuesday,Apr 10,Mock Interviews, Marlene Delanghe ,
Wednesday,Apr 11,"MEAN (Mongo, ExpressJS, Angular, Node)",Medhat Elmasry,
Thursday,Apr 12,iOS Development,Pat McGee,
Friday,Apr 13,Front End Web Design,Michael Whyte,
,,Weeks 29,,
Monday,Apr 16,Project 1 - Phase 3,Pat McGee,
Tuesday,Apr 17,iOS Development,Pat McGee,
Wednesday,Apr 18,Project 1 - Phase 3,Pat McGee,
Thursday,Apr 19,iOS Development,Pat McGee,
Friday,Apr 20,Industry Project Preparation Day,,
,,Weeks 30-33 ,,
,April 16 - May 11,Industry Project,Pat McGee,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
